International Space Station,13454
Johnson Space Center,5484
NASAs Johnson Space,4221
Space Station ISS,2982
Space Shuttle Atlantis,2631
Space Shuttle Discovery,2468
extravehicular activity EVA,2342
European Space Agency,2126
Space Shuttle Endeavour,1939
Kennedy Space Center,1908
Japan Aerospace Exploration,1831
or National Aeronautics,1822
Extravehicular Mobility Unit,1757
Mobility Unit EMU,1723
Aerospace Exploration Agency,1662
Federal Space Agency,1485
Zvezda Service Module,1474
Vehicle Mock up Facility,1415
Space Vehicle Mock up,1415
Neutral Buoyancy Laboratory,1348
Mission Control Center,1319
Buoyancy Laboratory NBL,1305
NASAs Kennedy Space,1291
Russias Federal Space,1237
Space Agency astronaut,1221
Exploration Agency JAXA,1218
Space Vehicle Mockup,1194
Vehicle Mockup Facility,1158
Unit EMU spacesuit,1157
Space Center JSC,1149
Laboratory NBL near,1101
flight control room,1059
Agency JAXA astronaut,1057
mission specialist participates,1056
launch pad 39A,1026
Space Agency ESA,1019
ISS science officer,1012
representing Russias Federal,880
near NASAs Johnson,809
Agency ESA astronaut,783
Canadian Space Agency,737
shuttle flight control,715
his shuttle launch,681
aft flight deck,680
frame mission specialist,660
remote manipulator system,641
command module pilot,625
Space Shuttle Program,624
flight engineer representing,618
crew head toward,609
Johnson Space Centers,591
lunar module pilot,581
space station science,566
Hubble Space Telescope,562
station science officer,553
NBL near NASAs,530
near Johnson Space,526
multi purpose logistics module,522
digital still camera,520
space shuttle flight,500
his Extravehicular Mobility,497
engineer representing Russias,490
Space Station Liftoff,490
flight engineer works,482
United Space Alliance,480
Houstons Mission Control,478
Pirs Docking Compartment,470
Expedition 20 flight,466
mission specialists participate,462
toward Earth orbit,460
Control Center MCC,459
International Space Stations,459
Ellington Field near,458
head toward Earth,452
Space Shuttle Columbia,443
Space Station mock up trainer,442
electronic still camera,440
astronaut Soichi Noguchi,427
Crew Systems Laboratory,426
mission specialist representing,421
Airlock Test Article,409
Station Airlock Test,409
Space Station Airlock,409
Test Article SSATA,408
astronaut Mike Fossum,406
Shuttle Landing Facility,401
flight engineer participates,391
Russian Federal Space,390
Extreme Environment Mission,390
Space Center Onboard,387
mission specialist attired,386
Environment Mission Operations,385
spacesuit fit check,383
EMU spacesuit fit,378
Mission Operations NEEMO,378
20 flight engineer,377
Earth orbiting Space Shuttle,376
astronaut Satoshi Furukawa,374
Exploration Agency astronaut,373
commander representing Russias,370
Aquarius Underwater Laboratory,369
Expedition 28 flight,366
Space Shuttle Discoverys,365
two spacecraft occurred,356
Doug Hurley pilot,354
Jake Garn Simulation,350
astronauts Chris Ferguson,347
Gagarin Cosmonaut Training,345
astronaut Paolo Nespoli,339
Main gear touchdown,337
NOAA Aquarius Underwater,336
astronaut Koichi Wakata,336
Lunar Module LM,336
lunar landing mission,335
Russian cosmonaut Oleg,335
Administrations NOAA Aquarius,332
Atmospheric Administrations NOAA,332
nose gear touchdown,329
still camera ESC,323
astronaut Ron Garan,320
28 flight engineer,320
Expedition 26 flight,318
Frank De Winne,315
commander Doug Hurley,311
will join Expedition,311
Star City Russia,309
manipulator system RMS,307
Michael E Lopez Alegria,307
Edward M Mike,303
undersea mission aboard,301
M Mike Fincke,300
JAXA astronaut Koichi,300
astronaut Frank De,297
astronaut Michael Barratt,296
Service Modules CSM,293
mission specialist works,291
crew return ceremony,291
astronaut Nicole Stott,289
Astronaut Michael E,286
mission specialist dons,285
flight engineer uses,285
Russian cosmonaut Alexander,285
astronaut Edward M,284
Edward T Lu,282
Space Shuttle Endeavours,281
Jeffrey N Williams,281
virtual reality training,280
Agency astronaut Frank,280
mission specialist uses,280
Sergei K Krikalev,279
Expedition 18 flight,279
spacecraft communicator CAPCOM,277
Space Alliance USA,276
astronaut Michael Fincke,275
Kennedy Space Centers,273
John W Young,273
John Danny Olivas,271
Expedition 16 commander,270
NBL near Johnson,268
astronaut Jeffrey Williams,267
18 flight engineer,266
Unit EMU space,265
Raffaello multi purpose logistics,263
Expedition 22 flight,262
White Sands Missile,260
Astronaut Robert L,260
C Michael Foale,258
JAXA astronaut Soichi,257
Space Center KSC,257
Expedition 24 flight,257
astronaut Naoko Yamazaki,255
STS 134 mission specialist,255
preflight press conference,253
STS 133 mission specialist,253
flight engineer aboard,253
astronaut Robert Thirsk,251
26 flight engineer,250
shuttle Discovery remains,247
Astronaut Edward T,247
