Space,28032
astronaut,17629
International,16472
Station,15521
mission,15295
flight,13609
Expedition,12246
shuttle,11829
Center,10130
commander,9780
crew,9419
Johnson,8371
astronauts,7445
engineer,7325
specialist,6780
NASAs,6154
training,6014
Agency,5966
left,5934
session,5721
launch,5692
Laboratory,5505
Module,5127
pilot,4802
cosmonaut,4673
Facility,4667
Vehicle,4602
extravehicular,4324
ISS,4286
spacecraft,4230
will,4157
two,3528
Russian,3456
specialists,3389
right,3238
near,3060
aboard,3042
activity,3000
Earth,2991
image,2964
scheduled,2958
his,2939
Atlantis,2917
photographed,2915
Soyuz,2909
Michael,2874
out,2871
or,2821
one,2809
Discovery,2761
National,2743
onboard,2714
docked,2613
members,2604
EVA,2570
still,2537
view,2536
system,2520
pictured,2518
European,2496
Kennedy,2400
Service,2394
participates,2351
frame,2350
science,2342
L,2275
Exploration,2245
first,2238
camera,2160
Jr,2138
Endeavour,2133
after,2117
pad,2087
docking,2072
final,2051
Control,2049
three,2043
M,1999
day,1973
suit,1966
Japan,1952
Aeronautics,1943
Aerospace,1939
entry,1925
taken,1903
Kazakhstan,1901
Unit,1900
John,1891
version,1884
am,1872
representing,1868
time,1867
spacewalk,1849
work,1841
missions,1839
new,1810
operations,1808
Mobility,1795
Destiny,1769
Zvezda,1744
EMU,1742
along,1739
attired,1710
orbit,1709
officer,1697
digital,1694
pm,1687
stations,1672
Baikonur,1630
participate,1626
Mike,1617
days,1601
landing,1594
second,1567
test,1564
Federal,1562
E,1560
15,1550
part,1545
16,1526
deck,1518
J,1509
Mock up,1508
Apollo,1495
crewmembers,1481
JSC,1466
over,1449
other,1444
room,1440
return,1424
Robert,1415
node,1411
spacesuit,1395
Russias,1390
Neutral,1377
Buoyancy,1365
EDT,1359
engineers,1356
visible,1345
JAXA,1345
James,1338
member,1337
lunar,1325
experiment,1323
assisted,1320
NBL,1319
works,1316
six,1308
Florida,1292
14,1281
Liftoff,1280
activities,1279
aft,1277
Cosmodrome,1274
Mockup,1273
pose,1273
prior,1272
miles,1271
payload,1269
foreground,1268
ESA,1247
rendezvous,1243
Airlock,1233
Systems,1232
following,1227
20,1214
D,1203
occurred,1184
11,1178
director,1175
featured,1175
cargo,1171
Scott,1155
water,1153
2011,1151
April,1150
bay,1150
Williams,1145
W,1140
construction,1130
up,1127
2,1126
Backdropped,1123
truss,1120
12,1116
port,1112
1,1101
White,1094
8,1082
18,1081
21,1080
Program,1073
R,1071
S,1056
toward,1053
9,1051
39A,1042
installed,1039
26,1039
Steve,1038
cosmonauts,1037
10,1035
maintenance,1029
orbital,1027
who,1022
US,1018
assembly,1009
uses,1007
area,1004
March,997
July,997
represents,995
command,991
four,978
N,977
crewmember,976
north,975
Canadian,971
located,967
H,965
preparation,963
Progress,963
robotic,949
five,949
Centers,946
Earths,943
Kelly,942
Doug,938
STS 135,932
off,931
28,931
17,930
third,926
crews,925
portrait,921
equipment,914
Logistics,913
2010,909
23,906
continue,895
solar,895
Mark,886
2009,873
supplies,870
Yuri,864
complex,863
hardware,863
Field,860
remote,859
prepare,858
Sergei,858
Kibo,857
more,841
Oleg,839
C,838
background,836
Discoverys,835
Manipulator,834
Ellington,831
remains,830
United,829
Richard,829
trainer,829
24,828
recorded,824
22,821
press,820
13,817
Rick,815
Rex,810
arm,798
spaceflight,795
Alexander,795
K,792
Simulation,792
end,789
Fincke,789
Walheim,788
emergency,784
team,784
middeck,784
STS 133,783
blackness,781
Thomas,781
EST,781
Compartment,779
waters,777
moon,774
photograph,773
Modules,769
Fossum,768
CDT,759
Charles,758
data,755
Research,754
spare,753
main,751
check,750
25,748
Japanese,748
inside,747
join,745
horizon,744
he,743
support,742
back,741
Chris,739
Magnus,735
Environment,732
Jeffrey,730
large,725
V,725
June,725
Undocking,723
Daniel,720
series,715
Nicole,714
conference,713
STS 134,711
Unity,710
head,709
P,708
front,706
top,704
STS 130,702
surface,698
gear,696
Endeavours,694
27,693
30,690
29,688
19,683
Stott,681
Edward,679
later,678
City,678
STS 131,678
7,677
start,674
wearing,674
planned,673
coast,671
B,668
ceremony,666
group,666
Harmony,665
Patrick,660
Quest,660
parts,659
participant,655
away,653
Andrew,653
seven,652
Columbia,645
Alan,641
performed,640
south,640
blue,637
deliver,636
Ferguson,634
window,633
joint,632
prepares,629
down,627
months,627
side,627
attached,626
William,621
begin,620
Nov,618
ammonia,616
site,614
Stephen,605
STS 132,601
Hubble,600
help,598
Telescope,592
Anderson,588
picture,587
tank,585
Canadarm2,582
computer,582
prime,579
hours,578
above,578
outpost,578
STS 119,576
Garan,576
multi purpose,572
orbiting,570
ground,568
STS 125,568
Frank,567
Russia,565
dons,564
artists,564
Hurley,561
Oct,558
exterior,557
not,554
Agencys,554
approaches,553
Pirs,553
provide,551
Bowen,551
Runway,548
Steven,548
electronic,547
