International Space,16370
Space Station,14761
Space Shuttle,9439
Johnson Space,8143
Space Center,7356
flight engineer,7240
mission specialist,6591
NASAs Johnson,4221
Space Agency,4197
training session,3692
mission specialists,3341
Station ISS,2982
Space Vehicle,2730
extravehicular activity,2667
Shuttle Atlantis,2632
Shuttle Discovery,2472
European Space,2398
activity EVA,2343
Kennedy Space,2320
Shuttle Endeavour,1949
National Aeronautics,1934
crew members,1933
Aerospace Exploration,1854
training version,1837
Japan Aerospace,1836
or National,1822
Extravehicular Mobility,1781
Mobility Unit,1757
Unit EMU,1723
launch pad,1703
Zvezda Service,1694
Exploration Agency,1670
Destiny laboratory,1666
science officer,1622
Service Module,1601
digital still,1598
Agency astronaut,1597
Federal Space,1554
mission commander,1521
shuttle launch,1421
Vehicle Mock up,1417
Mission Control,1416
Mock up Facility,1415
Control Center,1394
Neutral Buoyancy,1364
Russian cosmonaut,1354
Buoyancy Laboratory,1348
Laboratory NBL,1305
NASAs Kennedy,1291
Baikonur Cosmodrome,1270
astronaut Michael,1239
Russias Federal,1237
entry suit,1225
Agency JAXA,1218
flight deck,1202
Vehicle Mockup,1194
crew member,1186
Mockup Facility,1158
EMU spacesuit,1158
image photographed,1155
control room,1152
Center JSC,1151
flight day,1149
flight engineers,1124
still camera,1110
JAXA astronaut,1104
NBL near,1101
flight control,1091
specialist participates,1057
pad 39A,1040
Soyuz commander,1034
ISS science,1021
Agency ESA,1019
Canadian Space,919
representing Russias,880
Space Centers,866
Earth orbit,851
shuttle flight,839
Expedition 20,817
near NASAs,810
am EDT,804
ESA astronaut,803
lunar module,796
shuttle mission,785
Flight director,773
Astronaut John,757
module pilot,756
remains docked,733
Remote Manipulator,727
left Expedition,726
command module,715
Expedition 16,713
two spacecraft,706
aft flight,705
maintenance continue,689
his shuttle,682
frame mission,680
astronaut Robert,670
Kibo laboratory,660
manipulator system,653
Shuttle Program,651
Rex Walheim,650
Nicole Stott,644
logistics module,642
cosmonaut Yuri,640
Robert L,637
Expedition 18,632
Mike Fossum,628
Quest Airlock,626
Ellington Field,626
Expedition 26,620
astronaut Mike,620
engineer representing,618
press conference,618
head toward,615
crew head,610
Hubble Space,596
Expedition 28,594
Earths horizon,592
spaceflight participant,582
station science,580
Space Stations,572
Chris Ferguson,571
pm EDT,570
Astronaut Edward,570
Expedition 22,567
Space Telescope,564
Unity node,563
Expedition 15,558
Doug Hurley,556
cargo bay,554
astronaut Jeffrey,545
Training Facility,531
Soichi Noguchi,527
near Johnson,526
multi purpose logistics,522
join Expedition,519
Service Modules,518
Ron Garan,517
Steve Bowen,517
Expedition 23,512
Pirs Docking,512
cosmonaut Sergei,511
will return,511
fit check,508
robotic arm,507
Docking Compartment,504
his Extravehicular,503
Test Article,501
astronaut Scott,500
pm EST,495
training versions,494
Shuttle Landing,493
Mission Operations,493
Michael Barratt,491
Station Liftoff,490
Soyuz spacecraft,489
Systems Laboratory,487
Paolo Nespoli,486
electronic still,485
engineer works,482
United Space,481
Space Alliance,480
Houstons Mission,478
Harmony node,476
cosmonaut Oleg,475
will deliver,469
20 flight,466
toward Earth,465
Michael Fincke,465
Expedition 14,462
Expedition 29,462
specialists participate,462
spare parts,461
cosmonaut Alexander,461
Field near,460
Center MCC,459
Expedition 9,458
Sandy Magnus,456
crew return,453
Michael E,453
Expedition 21,450
Expedition 13,447
Williams Expedition,444
Shuttle Columbia,443
Station mock up trainer,442
commander representing,441
specialist representing,440
Greg Chamitoff,439
Andrew Feustel,438
solar array,435
Satoshi Furukawa,434
Crew Systems,434
Russian cosmonauts,430
STS 133 mission,430
astronaut Soichi,428
Expedition 27,424
will join,423
Astronaut James,422
Koichi Wakata,419
artists rendering,418
astronaut Frank,418
Garrett Reisman,417
missions first,414
cosmonaut Gennady,414
am CDT,413
lunar landing,411
Station Airlock,410
Airlock Test,409
Landing Facility,409
Article SSATA,408
Space Agencys,400
Expedition 17,400
Expedition 24,399
Rick Mastracchio,397
payload bay,397
STS 132 mission,393
engineer participates,391
Extreme Environment,390
Russian Federal,390
Environment Mission,390
Center Onboard,387
mission aboard,387
specialist attired,386
missions third,386
spacesuit fit,384
missions second,382
relative separation,379
Earth orbiting Space,378
Operations NEEMO,378
scheduled session,377
astronaut Satoshi,375
Aquarius Underwater,374
crew will,373
STS 131 mission,373
Key Largo,373
National Oceanic,372
STS 130 mission,370
cosmonaut Yury,370
Underwater Laboratory,370
space walk,369
Michael Good,368
Columbus laboratory,367
Star City,367
Expedition 25,366
28 flight,366
six months,365
Shuttle Discoverys,365
final mission,365
Cosmonaut Training,364
astronaut Peggy,362
Doug Wheelock,360
preflight press,360
right Expedition,359
Jake Garn,357
Main gear,356
spacecraft occurred,356
astronauts Chris,355
Hurley pilot,355
nose gear,353
lunar surface,353
Garn Simulation,350
gear touchdown,348
Gagarin Cosmonaut,345
Baikonur Kazakhstan,345
astronaut Koichi,344
STS 134 mission,344
orbital outpost,343
Sergei Volkov,343
Tony Antonelli,343
astronaut Paolo,341
located off,339
Jeffrey Williams,338
Expedition 8,337
landing mission,336
Module LM,336
Expedition Three,336
NOAA Aquarius,336
Alan Poindexter,335
Kazakhstan time,334
Administrations NOAA,332
Atmospheric Administrations,332
prime crew,331
stations robotic,330
Mikhail Tyurin,330
Runway 15,329
virtual reality,329
STS 125 mission,329
Astronaut William,328
Alvin Drew,325
pm CDT,324
camera ESC,323
entry suits,322
astronaut Steve,322
astronaut Ron,322
M Mike,320
Expedition 10,319
Kenneth D,319
STS 119 mission,319
Mike Fincke,318
26 flight,318
undersea mission,318
George Zamka,318
Oleg Kotov,317
Frank De,317
De Winne,315
Russian Sokol,314
Clayton Anderson,314
STS 135 mission,313
commander Doug,313
Expedition 11,311
cosmonaut Mikhail,310
City Russia,309
Ken Ham,308
Tim Kopra,308
North Carolina,307
system RMS,307
E Lopez Alegria,307
Expedition Two,306
astronauts Mark,306
Cady Coleman,306
United States,304
spacecraft communicator,304
Edward M,303
suit technician,303
group portrait,303
Stephanie Wilson,302
Whitson Expedition,301
Tracy Caldwell,301
astronaut Doug,299
survival training,299
egress training,299
specialist works,298
Scott Kelly,298
space suit,297
commander along,297
docking operations,297
Naoko Yamazaki,296
Modules CSM,295
return ceremony,294
astronaut Nicole,294
STS 124 mission,294
will spend,293
Dmitry Kondratyev,292
Mark Kelly,291
Nicholas Patrick,290
mid deck,290
Expedition Four,289
STS 118 mission,289
backdropped against,288
Japanese Experiment,288
Danny Olivas,287
STS 128 mission,287
Sergei K,287
Edward T,286
launch abort,286
engineer uses,285
specialist dons,285
T Lu,282
Jeffrey N,282
STS 114 mission,282
astronaut Thomas,281
N Williams,281
STS 135 commander,281
Shuttle Endeavours,281
reality training,280
specialist uses,280
18 flight,279
am EST,279
K Krikalev,279
Leroy Chiao,278
communicator CAPCOM,278
Christer Fuglesang,277
John W,277
Alliance USA,276
16 commander,275
Astronaut Daniel,275
White Sands,275
emergency egress,275
W Young,273
station crew,273
aft port,273
John Danny,272
miles away,271
pitch maneuver,271
Robert Behnken,270
Michael J,270
Expedition Six,270
astronaut Andrew,270
Mike Foreman,269
EMU space,269
TJ Creamer,268
Roberto Vittori,267
STS 127 mission,264
cosmonaut Fyodor,264
James P,263
Raffaello multi purpose,263
22 flight,262
24 flight,262
Gennady Padalka,261
Shannon Walker,261
Michael Foale,260
Leland Melvin,260
STS 122 mission,260
Sands Missile,260
Astronaut Mark,259
astronauts James,259
C Michael,258
payload specialist,258
Dutton Jr,258
Center KSC,258
Eric Boe,258
Robert Thirsk,258
astronauts Steve,257
STS 129 mission,257
astronaut Naoko,255
Training Center,254
commander participates,254
Russian Orlan,254
astronaut Rex,253
H Johnson,253
engineer aboard,253
foot restraint,252
resupply vehicle,252
Mini Research Module,252
after launching,251
close up view,249
Stephen K,248
Discovery remains,248
21 flight,247
