Japan Aerospace Exploration Agency JAXA,1206
Extravehicular Mobility Unit EMU spacesuit,1157
Neutral Buoyancy Laboratory NBL near,1101
Aerospace Exploration Agency JAXA astronaut,1054
representing Russias Federal Space Agency,863
European Space Agency ESA astronaut,783
Laboratory NBL near NASAs Johnson,530
Buoyancy Laboratory NBL near NASAs,530
NBL near NASAs Johnson Space,530
flight engineer representing Russias Federal,490
engineer representing Russias Federal Space,490
near NASAs Johnson Space Center,483
his Extravehicular Mobility Unit EMU,482
space shuttle flight control room,465
crew head toward Earth orbit,449
Space Station Airlock Test Article,409
Station Airlock Test Article SSATA,408
NASAs Kennedy Space Center Onboard,387
Extreme Environment Mission Operations NEEMO,378
Mobility Unit EMU spacesuit fit,377
Unit EMU spacesuit fit check,376
commander representing Russias Federal Space,370
Japan Aerospace Exploration Agency astronaut,357
Atmospheric Administrations NOAA Aquarius Underwater,332
Administrations NOAA Aquarius Underwater Laboratory,332
Exploration Agency JAXA astronaut Koichi,300
Houstons Mission Control Center MCC,294
Agency JAXA astronaut Koichi Wakata,292
astronaut Edward M Mike Fincke,281
European Space Agency astronaut Frank,280
Space Agency astronaut Frank De,271
Agency astronaut Frank De Winne,269
Buoyancy Laboratory NBL near Johnson,268
Laboratory NBL near Johnson Space,268
Extravehicular Mobility Unit EMU space,265
Canadian Space Agency astronaut Robert,244
space shuttle Discovery remains docked,242
Space Agency astronaut Robert Thirsk,242
Exploration Agency JAXA astronaut Soichi,238
Agency JAXA astronaut Soichi Noguchi,237
Space Agency astronaut Paolo Nespoli,235
European Space Agency astronaut Paolo,235
Space Center United Space Alliance,233
Johnson Space Center United Space,233
Ellington Field near NASAs Johnson,228
Field near NASAs Johnson Space,228
Mobility Unit EMU space suit,216
Doug Hurley pilot Sandy Magnus,212
commander Doug Hurley pilot Sandy,210
Johnson Space Centers Mission Control,209
US Armys White Sands Missile,203
Space Centers Mission Control Center,199
space shuttle Endeavour remains docked,195
Russias Federal Space Agency Expedition,193
Environment Mission Operations NEEMO mission,193
Exploration Agency astronaut Satoshi Furukawa,192
Aerospace Exploration Agency astronaut Satoshi,192
Agency JAXA astronaut Naoko Yamazaki,185
Exploration Agency JAXA astronaut Naoko,185
shuttle flight control room WFCR,180
Armys White Sands Missile Range,176
Russian Federal Space Agency cosmonaut,174
JAXA astronaut Koichi Wakata Expedition,171
NBL near Johnson Space Center,171
Space Station Remote Manipulator System,161
astronaut Frank De Winne Expedition,155
Space Station ISS science officer,155
International Space Station ISS science,155
